,image_file,dominant_color
0,Nexus_Image_Iterator/full_sprial_grids_55_.png,"(49, 46, 47)"
1,Nexus_Image_Iterator/grid_sprial_test_3_.png,"(4, 4, 4)"
2,Nexus_Image_Iterator/more_compressedfull_sprial_grids_8_resized.png,"(4, 4, 4)"
3,Nexus_Image_Iterator/back_forth_grid_69_.png,"(4, 4, 4)"
4,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_21_resized.png,"(151, 135, 131)"
5,Nexus_Image_Iterator/Nataliia 4_composite_final_2_90.png,"(143, 148, 162)"
6,Nexus_Image_Iterator/MC 4_composite_2.png,"(188, 172, 161)"
7,Nexus_Image_Iterator/Spiderplant 2_composite_final_2_90676_resized.png,"(172, 144, 145)"
8,Nexus_Image_Iterator/more_compressedfull_sprial_grids_48_resized.png,"(127, 113, 109)"
9,Nexus_Image_Iterator/Kathy_composite_1.png,"(111, 91, 80)"
10,Nexus_Image_Iterator/Kathy_2_composite_final_2_90.png,"(120, 121, 90)"
11,Nexus_Image_Iterator/moving_picture_grid_102_.png,"(4, 4, 4)"
12,Nexus_Image_Iterator/John_composite_2.png,"(177, 171, 144)"
13,Nexus_Image_Iterator/MC 3_composite_final_8_90.png,"(132, 136, 149)"
14,Nexus_Image_Iterator/eisa_composite_final_6_90.png,"(138, 133, 131)"
15,Nexus_Image_Iterator/Victor_composite_final_5_90.png,"(112, 81, 75)"
16,Nexus_Image_Iterator/full_sprial_grids_87_resized.png,"(4, 4, 4)"
17,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_51_resized.png,"(129, 115, 113)"
18,Nexus_Image_Iterator/Spiderplant_composite_final_9_90.png,"(130, 115, 118)"
19,Nexus_Image_Iterator/Jeanfiedo_composite_final_2_90.png,"(140, 109, 110)"
20,Nexus_Image_Iterator/more_compressedfull_sprial_grids_38_resized.png,"(155, 141, 139)"
21,Nexus_Image_Iterator/moving_picture_grid_92_.png,"(155, 137, 132)"
22,Nexus_Image_Iterator/moving_picture_grid_11_resized.png,"(4, 4, 4)"
23,Nexus_Image_Iterator/Dan_composite_4.png,"(168, 146, 153)"
24,Nexus_Image_Iterator/full_sprial_grids_14_.png,"(4, 4, 4)"
25,Nexus_Image_Iterator/Spiderplant_composite_final_5_90.png,"(144, 141, 138)"
26,Nexus_Image_Iterator/Victor_composite_final_9_90.png,"(132, 87, 68)"
27,Nexus_Image_Iterator/Sibel_composite_final_1_90.png,"(162, 154, 137)"
28,Nexus_Image_Iterator/full_sprial_grids_24_resized.png,"(151, 136, 133)"
29,Nexus_Image_Iterator/full_sprial_grids_100_resized.png,"(4, 4, 4)"
30,Nexus_Image_Iterator/back_forth_grid_28_.png,"(11, 10, 10)"
31,Nexus_Image_Iterator/more_compressedfull_sprial_grids_66_resized.png,"(15, 14, 14)"
32,Nexus_Image_Iterator/MC 3_composite_final_4_90.png,"(168, 148, 146)"
33,Nexus_Image_Iterator/back_forth_grid_70_resized.png,"(4, 4, 4)"
34,Nexus_Image_Iterator/moving_picture_grid_84_.png,"(12, 11, 11)"
35,Nexus_Image_Iterator/moving_picture_grid_61_resized.png,"(137, 124, 124)"
36,Nexus_Image_Iterator/full_sprial_grids_43_.png,"(12, 12, 12)"
37,Nexus_Image_Iterator/grid_sprial_test_22_resized.png,"(151, 135, 131)"
38,Nexus_Image_Iterator/full_sprial_grids_54_resized.png,"(128, 115, 112)"
39,Nexus_Image_Iterator/Kasey Edgerton 2_composite_2.png,"(73, 46, 47)"
40,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_82_resized.png,"(152, 135, 131)"
41,Nexus_Image_Iterator/RainbowSpaceman_composite_final_3_90.png,"(70, 82, 93)"
42,Nexus_Image_Iterator/more_compressedfull_sprial_grids_16_resized.png,"(153, 137, 133)"
43,Nexus_Image_Iterator/Mika_composite_4.png,"(82, 62, 49)"
44,Nexus_Image_Iterator/back_forth_grid_0_resized.png,"(4, 4, 4)"
45,Nexus_Image_Iterator/moving_picture_grid_114_.png,"(4, 4, 4)"
46,Nexus_Image_Iterator/MC 2_composite_final_0_90.png,"(140, 140, 147)"
47,Nexus_Image_Iterator/Spiderplant 4_composite_final_1_90.png,"(117, 105, 97)"
48,Nexus_Image_Iterator/moving_picture_grid_80_resized.png,"(14, 13, 13)"
49,Nexus_Image_Iterator/full_sprial_grids_38_.png,"(156, 141, 140)"
50,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_63_resized.png,"(152, 139, 138)"
51,Nexus_Image_Iterator/full_sprial_grids_48_resized.png,"(128, 115, 112)"
52,Nexus_Image_Iterator/grid_sprial_test_1_resized.png,"(4, 4, 4)"
53,Nexus_Image_Iterator/Kasey Edgerton 2_composite_3.png,"(99, 96, 89)"
54,Nexus_Image_Iterator/moving_picture_grid_47_.png,"(156, 141, 139)"
55,Nexus_Image_Iterator/grid_sprial_test_25_.png,"(155, 138, 134)"
56,Nexus_Image_Iterator/back_forth_grid_53_.png,"(155, 137, 132)"
57,Nexus_Image_Iterator/Jeanfiedo_composite_final_3_90.png676_resized.png,"(140, 113, 107)"
58,Nexus_Image_Iterator/full_sprial_grids_80_.png,"(155, 137, 132)"
59,Nexus_Image_Iterator/more_compressedfull_sprial_grids_87_resized.png,"(4, 4, 4)"
60,Nexus_Image_Iterator/Kasey Edgerton 3_composite_final_9_90.png,"(117, 126, 133)"
61,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_13_resized.png,"(4, 4, 4)"
62,Nexus_Image_Iterator/back_forth_grid_1_.png,"(143, 148, 161)"
63,Nexus_Image_Iterator/Nataliia 2_composite_4.png,"(171, 140, 127)"
64,Nexus_Image_Iterator/Cindy_composite_final_5_90.png,"(132, 120, 122)"
65,Nexus_Image_Iterator/full_sprial_grids_38_resized.png,"(156, 141, 139)"
66,Nexus_Image_Iterator/full_sprial_grids_6_resized.png,"(4, 4, 4)"
67,Nexus_Image_Iterator/moving_picture_grid_10_.png,"(4, 4, 4)"
68,Nexus_Image_Iterator/Nataliia_composite_final_6_90.png,"(148, 134, 139)"
69,Nexus_Image_Iterator/Kasey Edgerton 3_composite_final_5_90.png,"(89, 84, 87)"
70,Nexus_Image_Iterator/Dan_composite_final_7_90.png,"(149, 124, 136)"
71,Nexus_Image_Iterator/moving_picture_grid_53_resized.png,"(164, 146, 142)"
72,Nexus_Image_Iterator/full_sprial_grids_96_.png,"(4, 4, 4)"
73,Nexus_Image_Iterator/grid_sprial_test_10_resized.png,"(4, 4, 4)"
74,Nexus_Image_Iterator/back_forth_grid_45_.png,"(11, 10, 10)"
75,Nexus_Image_Iterator/grid_sprial_test_33_.png,"(13, 12, 12)"
76,Nexus_Image_Iterator/MC_composite_final_6_90.png,"(161, 153, 151)"
77,Nexus_Image_Iterator/full_sprial_grids_66_resized.png,"(14, 14, 13)"
78,Nexus_Image_Iterator/more_compressedfull_sprial_grids_24_resized.png,"(151, 135, 133)"
79,Nexus_Image_Iterator/full_sprial_grids_79_.png,"(155, 137, 132)"
80,Nexus_Image_Iterator/q329042_composite_final_6_90.png,"(115, 101, 103)"
81,Nexus_Image_Iterator/JR Formanek_composite_final_0_90.png,"(141, 141, 132)"
82,Nexus_Image_Iterator/back_forth_grid_32_resized.png,"(152, 139, 138)"
83,Nexus_Image_Iterator/Cindy_composite_final_9_90.png,"(166, 151, 155)"
84,Nexus_Image_Iterator/back_forth_grid_12_.png,"(4, 4, 4)"
85,Nexus_Image_Iterator/John_composite_3.png,"(108, 104, 87)"
86,Nexus_Image_Iterator/moving_picture_grid_23_resized.png,"(151, 135, 131)"
87,Nexus_Image_Iterator/Rondo_composite_1.png,"(120, 80, 35)"
88,Nexus_Image_Iterator/full_sprial_grids_16_resized.png,"(153, 137, 133)"
89,Nexus_Image_Iterator/MC 4_composite_3.png,"(126, 131, 141)"
90,Nexus_Image_Iterator/Spiderplant 2_composite_final_5_90.png676_resized.png,"(176, 148, 148)"
91,Nexus_Image_Iterator/more_compressedfull_sprial_grids_54_resized.png,"(50, 47, 47)"
92,Nexus_Image_Iterator/Kasey Edgerton 2_composite_final_1_90.png,"(79, 83, 89)"
93,Nexus_Image_Iterator/more_compressedfull_sprial_grids_507_1_resized.png,"(4, 4, 4)"
94,Nexus_Image_Iterator/moving_picture_grid_51_.png,"(156, 141, 139)"
95,Nexus_Image_Iterator/Quinn_test_2_composite_4.png,"(104, 113, 111)"
96,Nexus_Image_Iterator/back_forth_grid_42_resized.png,"(12, 12, 12)"
